INSTITUCION;COD_IPRESS;NOMBRE;CLASIFICACION;TIPO_ESTABLECIMIENTO;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;DIRECCION;CO_DISA;COD_RED;COD_MICRORRED;DISA;RED;MICRORED;COD_UE;UNIDAD_EJECUTORA;CATEGORIA;TELEFONO;HORARIO;INICIO_ACTIVIDAD;ESTADO;NORTE;ESTE;IMAGEN_1;FE_ACT_IMAGEN_1;IMAGEN_2;FE_ACT_IMAGEN_2;IMAGEN_3;FE_ACT_IMAGEN_3
GOBIERNO REGIONAL;00002806;LA NOVIA;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;MADRE DE DIOS;TAHUAMANU;TAHUAMANU;170303;CARRETERA IBERIA KM 80;25.0;137.0;915.0;MADRE DE DIOS;MADRE DE DIOS;IBERIA;879.0;SALUD MADRE DE DIOS;I-1;973267838;7:00 - 19:00;1995-01-01;ACTIVO;-11.8671856;-69.13774377;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2806_29717072_1498774205942.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2806_29717072_1498774222903.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2806_29717072_1498774265186.png;
GOBIERNO REGIONAL;00002807;SANTA MARIA;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;MADRE DE DIOS;TAHUAMANU;TAHUAMANU;170303;CARRETERA IBERIA KM. 85;25.0;137.0;915.0;MADRE DE DIOS;MADRE DE DIOS;IBERIA;879.0;SALUD MADRE DE DIOS;I-1;931494291;7.00 -19:00 ;1995-05-01;ACTIVO;-11.89472628;-69.00601556;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2807_40001257_1454434605558.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2807_40001257_1454434621819.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2807_40001257_1454434638248.png;
GOBIERNO REGIONAL;00002808;P.S. CAMBRUNE;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;MOQUEGUA;MARISCAL NIETO;CARUMAS;180102;CALLE 28 DE JULIO S/N;26.0;138.0;918.0;MOQUEGUA;MOQUEGUA;CARUMAS;884.0;SALUD MOQUEGUA;I-2;962749104;08:00-20:00;1963-10-21;ACTIVO;-16.82438155;-70.67862772;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2808_04438998_1463094515875.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2808_04438998_1463094336989.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2808_04438998_1463094361685.png;
GOBIERNO REGIONAL;00002809;CENTRO DE SALUD CARUMAS;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;MOQUEGUA;MARISCAL NIETO;CARUMAS;180102;PROLONG. SAN BERNABE S/N;26.0;138.0;918.0;MOQUEGUA;MOQUEGUA;CARUMAS;884.0;SALUD MOQUEGUA;I-3;927539737;08:00 - 20:00;1978-12-08;ACTIVO;-16.81242676;-70.69178992;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2809_04438998_1460667701422.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2809_04438998_1460668605861.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2809_04438998_1460668624207.png;
GOBIERNO REGIONAL;00002811;P.S. SACUAYA;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;MOQUEGUA;MARISCAL NIETO;CUCHUMBAYA;180103;SACUAYA S/N;26.0;138.0;918.0;MOQUEGUA;MOQUEGUA;CARUMAS;884.0;SALUD MOQUEGUA;I-2;953718834;08:00-20:00;1988-06-15;ACTIVO;-16.75967301;-70.71432843;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2811_04438998_1460650835097.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2811_04438998_1460650847876.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2811_04438998_1460650928357.png;
GOBIERNO REGIONAL;00004076;SOCORRO;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;HUANCAVELICA;TAYACAJA;PAMPAS;090701;SOCORRO S/N - AL PIE DE LA CARRETERA CERCA AL COMPLEJO DEPORTIVO;13.0;59.0;444.0;HUANCAVELICA;TAYACAJA;ACRAQUIA;1645.0;RED DE SALUD TAYACAJA;I-2;986766908;8:00 - 14:00;1990-01-01;ACTIVO;-12.48331561;-74.85139858;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20171030225358.jpg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20171030225404.jpg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20171030225407.jpg;
GOBIERNO REGIONAL;00004078;DOS DE MAYO;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;HUANCAVELICA;TAYACAJA;ACRAQUIA;090703;PLAZA PRINCIPAL S/N - DOS DE MAYO;13.0;59.0;444.0;HUANCAVELICA;TAYACAJA;ACRAQUIA;1645.0;RED DE SALUD TAYACAJA;I-2;987124115;7-13 hrs/13-19 hrs;1995-01-01;ACTIVO;-12.39174949;-74.930706;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20230214124038.jpg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20230214123711.jpg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20230214124044.jpg;
GOBIERNO REGIONAL;00004080;AHUAYCHA;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;HUANCAVELICA;TAYACAJA;AHUAYCHA;090704;AV. MANCHEGO MUÑOZ S/N - AHUAYCHA FRENTE AL COLEGIO;13.0;59.0;444.0;HUANCAVELICA;TAYACAJA;ACRAQUIA;1645.0;RED DE SALUD TAYACAJA;I-2;966291079;8:00 - 14:00;1985-12-13;ACTIVO;-12.40385032;-74.89153722;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_4080_40974482_1440611915909.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_4080_40974482_1440612074881.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_4080_40974482_1440612110409.png;
GOBIERNO REGIONAL;00003250;HUAYLLAHUECO;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PLATERIA;210112;COMUNIDAD DE HUAYLLAHUECO;29.0;150.0;966.0;PUNO;PUNO;ACORA;919.0;SALUD PUNO;I-1;936227457;7:00 - 19:00;1995-01-10;ACTIVO;-16.060205;-69.87190833;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20170919141331.jpg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20170919141248.jpg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20170919141307.jpg;
GOBIERNO REGIONAL;00003252;4 DE NOVIEMBRE;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JR. RUBEN DARIO Nº 257 - BARRIO 4 DE NOVIEMBRE;29.0;150.0;968.0;PUNO;PUNO;JOSE ANTONIO ENCINAS;919.0;SALUD PUNO;I-3;950814729;7:00 - 19:00;1986-04-22;ACTIVO;-15.82486667;-70.02903167;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3252_29378523_1435159861968.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3252_29378523_1435159889840.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3252_29378523_1435159930961.png;
