ubigeo_distrito,nombre_distrito,poblacion,poblacion_ruteable,pct_sin_ruta,acceso_min_ponderado,n_centros_poblados
250103,IPARIA,13019.0,0.0,100.0,,35.0
250202,SEPAHUA,10892.4,0.0,100.0,,26.0
250203,TAHUANIA,8867.599999999999,0.0,100.0,,34.0
250204,YURUA,3760.8000000000006,0.0,100.0,,13.0
250401,PURUS,4429.299999999999,0.0,100.0,,27.0
050511,ORONCCOY,4655.3,545.7,88.28,129.42,12.0
050621,SANTA LUCIA,741.6999999999999,361.40000000000003,51.27,116.41,26.0
050411,PUCACOLPA,14695.2,4450.800000000001,69.71,111.23,23.0
050505,CHUNGUI,5052.7,3190.0,36.87,96.6,16.0
050609,LEONCIO PRADO,1374.2,701.7,48.94,94.35,42.0
050614,SAISA,941.0,453.3,51.83,91.6,28.0
250104,MASISEA,8905.099999999999,798.4,91.03,74.6,38.0
051106,INDEPENDENCIA,1549.5,1284.0,17.13,71.03,10.0
051004,ASQUIPATA,471.4,471.4,0.0,70.55,5.0
050902,BELEN,516.3,516.3,0.0,68.77,1.0
050708,UPAHUACHO,3200.5000000000005,860.5999999999999,73.11,61.31,45.0
050903,CHALCOS,826.8,625.4,24.36,58.28,5.0
050905,HUACAÑA,921.7,90.9,90.14,54.99,10.0
051103,CARHUANCA,1437.3,1437.3,0.0,54.86,9.0
050909,SAN SALVADOR DE QUIJE,1791.1,1081.6999999999998,39.61,48.12,13.0
051102,ACCOMARCA,1021.8,753.2,26.29,47.62,8.0
050618,SAN PEDRO DE PALCO,1706.3999999999996,604.4,64.58,47.41,85.0
050906,MORCOLLA,1246.6000000000001,609.4,51.12,46.4,19.0
200303,EL CARMEN DE LA FRONTERA,12336.4,7995.1,35.19,46.22,13.0
050205,PARAS,5094.799999999999,3339.2,34.46,45.74,96.0
050410,UCHURACCAY,4120.7,2856.0,30.69,45.16,23.0
051104,CONCEPCION,3075.3999999999996,3075.3999999999996,0.0,44.97,20.0
050612,OCAÑA,2433.3999999999996,1378.3999999999999,43.35,44.73,52.0
051003,APONGO,1259.1000000000001,958.1999999999999,23.9,43.38,12.0
200604,LANCONES,11920.500000000002,8478.000000000002,28.88,43.35,57.0
050617,SAN PEDRO,3224.6,2040.5,36.72,42.6,35.0
050904,CHILCAYOC,737.3000000000001,737.3000000000001,0.0,41.19,4.0
050506,LUIS CARRANZA,933.5,599.4,35.79,40.73,15.0
051008,HUAMANQUIQUIA,1515.0,970.9,35.91,40.55,17.0
050610,LLAUTA,1296.7,1171.2,9.68,40.45,25.0
200307,SONDOR,8305.699999999999,4208.7,49.33,40.26,14.0
200206,PACAIPAMPA,26183.999999999996,13102.699999999999,49.96,39.81,63.0
050602,AUCARA,5533.099999999999,2552.8999999999996,53.86,39.54,59.0
250201,RAIMONDI,39755.6,15211.1,61.74,38.81,83.0
050907,PAICO,692.3,287.20000000000005,58.52,38.67,7.0
051002,ALCAMENCA,2059.0,1780.6,13.52,38.56,10.0
050703,CORONEL CASTAÑEDA,2653.8999999999996,1477.3,44.33,37.53,31.0
051107,SAURAMA,1417.1999999999998,1417.1999999999998,0.0,37.31,4.0
051105,HUAMBALPA,1346.6000000000001,1235.2,8.27,36.98,12.0
