ubigeo_provincia,nombre_provincia,poblacion,poblacion_ruteable,pct_sin_ruta,acceso_min_ponderado,n_centros_poblados
2504,PURUS,4429.299999999999,0.0,100.0,,27.0
0509,SUCRE,12219.8,7578.6,37.98,63.7,138.0
0503,HUANCA SANCOS,10407.8,4688.9,54.95,56.12,255.0
0511,VILCAS HUAMAN,22872.2,21799.2,4.69,41.4,115.0
2003,HUANCABAMBA,119746.80000000002,101674.30000000002,15.09,39.66,256.0
2502,ATALAYA,63276.40000000001,15211.1,75.96,38.81,156.0
2002,AYABACA,136504.0,93558.7,31.46,38.07,335.0
0506,LUCANAS,74446.6,48917.7,34.29,24.82,993.0
0510,VICTOR FAJARDO,22493.8,15374.9,31.65,23.79,282.0
0505,LA MAR,93497.4,75772.8,18.96,23.7,216.0
2503,PADRE ABAD,68471.29999999999,44336.49999999999,35.25,18.62,95.0
0507,PARINACOCHAS,39222.4,26417.800000000003,32.65,18.45,343.0
0504,HUANTA,128150.69999999998,100174.8,21.83,17.98,235.0
0508,PAUCAR DEL SARA SARA,11012.5,7747.3,29.65,15.85,89.0
0502,CANGALLO,33350.5,28630.9,14.15,15.55,243.0
2004,MORROPON,147857.7,140101.59999999998,5.25,13.19,154.0
2008,SECHURA,98283.9,67330.3,31.49,9.21,48.0
0501,HUAMANGA,293824.5,288190.4,1.92,7.25,333.0
2001,PIURA,772645.6000000001,760724.1000000001,1.54,4.94,219.0
2006,SULLANA,329697.8,319771.80000000005,3.01,4.93,155.0
2501,CORONEL PORTILLO,438675.39999999997,382188.4,12.88,4.17,225.0
2005,PAITA,136348.4,136072.9,0.2,3.98,36.0
2007,TALARA,116818.69999999998,111189.49999999997,4.82,3.06,52.0
