ubigeo_distrito,nombre_distrito,poblacion,poblacion_ruteable,pct_sin_ruta,acceso_min_ponderado,n_centros_poblados,rank
250103,IPARIA,13019.0,0.0,100.0,,35.0,1
250202,SEPAHUA,10892.4,0.0,100.0,,26.0,2
250203,TAHUANIA,8867.599999999999,0.0,100.0,,34.0,3
250204,YURUA,3760.8000000000006,0.0,100.0,,13.0,4
250401,PURUS,4429.299999999999,0.0,100.0,,27.0,5
050511,ORONCCOY,4655.3,545.7,88.28,129.42,12.0,6
050621,SANTA LUCIA,741.6999999999999,361.40000000000003,51.27,116.41,26.0,7
050411,PUCACOLPA,14695.2,4450.800000000001,69.71,111.23,23.0,8
050505,CHUNGUI,5052.7,3190.0,36.87,96.6,16.0,9
050609,LEONCIO PRADO,1374.2,701.7,48.94,94.35,42.0,10
050614,SAISA,941.0,453.3,51.83,91.6,28.0,11
250104,MASISEA,8905.099999999999,798.4,91.03,74.6,38.0,12
051106,INDEPENDENCIA,1549.5,1284.0,17.13,71.03,10.0,13
051004,ASQUIPATA,471.4,471.4,0.0,70.55,5.0,14
050902,BELEN,516.3,516.3,0.0,68.77,1.0,15
050708,UPAHUACHO,3200.5000000000005,860.5999999999999,73.11,61.31,45.0,16
050903,CHALCOS,826.8,625.4,24.36,58.28,5.0,17
050905,HUACAÑA,921.7,90.9,90.14,54.99,10.0,18
051103,CARHUANCA,1437.3,1437.3,0.0,54.86,9.0,19
050909,SAN SALVADOR DE QUIJE,1791.1,1081.6999999999998,39.61,48.12,13.0,20
