departamento,banda,poblacion,poblacion_total_grupo,share_pct
AYACUCHO,0-30,528850.2,741498.2,71.32
AYACUCHO,30-60,71037.2,741498.2,9.58
AYACUCHO,60-120,22409.8,741498.2,3.02
AYACUCHO,>120,2996.1,741498.2,0.4
AYACUCHO,sin_ruta,116204.9,741498.2,15.67
PIURA,0-30,1636085.2,1857902.9,88.06
PIURA,30-60,72813.7,1857902.9,3.92
PIURA,60-120,20936.7,1857902.9,1.13
PIURA,>120,587.6,1857902.9,0.03
PIURA,sin_ruta,127479.7,1857902.9,6.86
UCAYALI,0-30,422150.2,574852.4,73.44
UCAYALI,30-60,14962.9,574852.4,2.6
UCAYALI,60-120,3106.9,574852.4,0.54
UCAYALI,>120,1516.0,574852.4,0.26
UCAYALI,sin_ruta,133116.4,574852.4,23.16
