cod_ccpp,NOMCP,CAPITAL,ubigeo_distrito,ubigeo_provincia,ubigeo_departamento,nombre_distrito,nombre_provincia,departamento,altitud_m,t_min,distance_km,routable,cod_destino_cercano,poblacion,urbano_rural
237604,Reventazon,0,200801,2008,20,SECHURA,SECHURA,PIURA,27,,,False,,6886.5,urbano
226439,Mina de Sal Zapayal,0,200801,2008,20,SECHURA,SECHURA,PIURA,1,,,False,,857.7,rural
242240,Garita Garcia,0,200801,2008,20,SECHURA,SECHURA,PIURA,3,,,False,,2735.5,urbano
616252,El Sauce,0,200801,2008,20,SECHURA,SECHURA,PIURA,50,,,False,,771.3,rural
622034,Vega Del Caballo,0,200801,2008,20,SECHURA,SECHURA,PIURA,24,77.25825554531457,70.65505127399402,True,00032108,1989.8,rural
683685,Las Dunas,0,200801,2008,20,SECHURA,SECHURA,PIURA,0,,,False,,5244.3,urbano
529689,San Jose de Los Molinos,0,200304,2003,20,HUARMACA,HUANCABAMBA,PIURA,1725,,,False,,199.5,rural
551685,Limon,0,200304,2003,20,HUARMACA,HUANCABAMBA,PIURA,1822,2.468968310548591,1.7319734648874683,True,00002272,303.3,rural
240373,Hacienda Limon,0,200304,2003,20,HUARMACA,HUANCABAMBA,PIURA,1107,44.39818679116452,50.8986937853691,True,00002272,515.8,rural
217633,Pacaypampa,0,200304,2003,20,HUARMACA,HUANCABAMBA,PIURA,1503,,,False,,53.0,rural
214044,Tallacas,0,200304,2003,20,HUARMACA,HUANCABAMBA,PIURA,2525,26.28666696679812,21.698257356539614,True,00002272,1044.8,rural
242888,Piedra Parada,0,200304,2003,20,HUARMACA,HUANCABAMBA,PIURA,1878,3.6677324756513974,3.9614150536955903,True,00002272,180.1,rural
214174,Carrizal De Tres Horcones,0,200304,2003,20,HUARMACA,HUANCABAMBA,PIURA,1255,19.554095947245376,12.403536687973956,True,00002272,252.0,rural
235682,Huaychau,0,200304,2003,20,HUARMACA,HUANCABAMBA,PIURA,2199,50.447314752946305,49.19350389155578,True,00002272,683.2,rural
550382,Yumbe De Porcuya,0,200304,2003,20,HUARMACA,HUANCABAMBA,PIURA,1633,20.287721634115282,13.611142347265265,True,00002272,119.4,rural
651846,Chilcapampa,0,200304,2003,20,HUARMACA,HUANCABAMBA,PIURA,2640,44.30024003816725,33.707306070785705,True,00002272,1231.2,rural
657577,El Sauce (El Sauce de Porcuya),0,200304,2003,20,HUARMACA,HUANCABAMBA,PIURA,1946,,,False,,428.3,rural
213884,Overal,0,200304,2003,20,HUARMACA,HUANCABAMBA,PIURA,632,16.16476860219396,18.54129053466191,True,00002272,211.0,rural
543904,Chinche,0,200304,2003,20,HUARMACA,HUANCABAMBA,PIURA,1411,3.6677324756513974,3.9614150536955903,True,00002272,162.6,rural
622592,Limon de Porcuya,0,200304,2003,20,HUARMACA,HUANCABAMBA,PIURA,1597,0.17549144455045623,0.08774572227522813,True,00002272,352.1,rural
244381,Zapotal,0,200304,2003,20,HUARMACA,HUANCABAMBA,PIURA,1153,37.95988518440891,43.7437250167863,True,00002272,336.0,rural
680495,Eucalipto De Porcuya,0,200304,2003,20,HUARMACA,HUANCABAMBA,PIURA,1896,9.115484347482765,6.01667597884623,True,00002272,187.8,rural
119198,San Pedro,0,200805,2008,20,VICE,SECHURA,PIURA,3,24.433214258053006,18.073615582082653,True,00031075,592.5,rural
222083,Hacienda Santa Clara,0,200110,2001,20,LA UNION,PIURA,PIURA,13,10.750450031508244,7.441664430757987,True,00002124,1737.7,rural
531598,Petroperu,0,200801,2008,20,SECHURA,SECHURA,PIURA,86,,,False,,4349.8,urbano
553124,El Impulso,0,200806,2008,20,RINCONADA LLICUAR,SECHURA,PIURA,10,7.979755981222993,6.166795118056521,True,00002157,1038.0,rural
213731,Santa Rosa,0,200801,2008,20,SECHURA,SECHURA,PIURA,7,7.994764259587326,5.698330335567259,True,00018922,618.9,rural
215874,Santa Ana,0,200801,2008,20,SECHURA,SECHURA,PIURA,10,7.461762045212234,3.8316923923137276,True,00018922,583.0,rural
224452,San Antonio,0,200804,2008,20,CRISTO NOS VALGA,SECHURA,PIURA,7,12.113048685356254,8.619434554534402,True,00002157,1397.2,rural
551669,Vista Florida,0,200806,2008,20,RINCONADA LLICUAR,SECHURA,PIURA,12,8.205186792769531,6.827189716197121,True,00002157,2532.1,urbano
616729,Salitral,0,200806,2008,20,RINCONADA LLICUAR,SECHURA,PIURA,11,4.275328372581307,3.333391123186246,True,00002157,2020.9,urbano
219573,Hacienda Monte Viejo,0,200110,2001,20,LA UNION,PIURA,PIURA,11,10.68409864094033,6.817206947885876,True,00002124,876.3,rural
618320,Santa Isabel,0,200805,2008,20,VICE,SECHURA,PIURA,17,1.6692658531506293,1.0069295469917183,True,00031075,3823.7,urbano
121134,Hacienda La Constancia,0,200805,2008,20,VICE,SECHURA,PIURA,12,3.046065953903579,2.8648425951946934,True,00031075,399.5,rural
658734,El Bendito,0,200110,2001,20,LA UNION,PIURA,PIURA,39,4.568617769720726,2.8191413587963705,True,00002151,1746.0,rural
549810,El Porvenir,0,200801,2008,20,SECHURA,SECHURA,PIURA,11,0.5918247738623401,0.3845670893949475,True,00018922,2897.6,urbano
563640,Las Capillas,0,200801,2008,20,SECHURA,SECHURA,PIURA,15,1.2055520319559618,0.8310639611309019,True,00025102,1889.0,rural
625042,Victor Raul Haya de La Torre,0,200801,2008,20,SECHURA,SECHURA,PIURA,6,2.007773389684672,1.4256598188957563,True,00025102,1185.9,rural
652277,La Florida,0,200801,2008,20,SECHURA,SECHURA,PIURA,11,1.5180453191935845,1.0114594807625314,True,00025102,1686.1,rural
624131,Nuevo Chulliyachi,0,200801,2008,20,SECHURA,SECHURA,PIURA,11,2.250467387888228,1.5962108748454367,True,00025102,1327.2,rural
130606,Letira,0,200805,2008,20,VICE,SECHURA,PIURA,12,5.928806434226887,5.162353300310299,True,00031075,3852.2,urbano
131107,Pampa  de Loro,0,200801,2008,20,SECHURA,SECHURA,PIURA,9,9.2677725279921,7.511681377781737,True,00018922,950.0,rural
652278,Nueva Esperanza,0,200801,2008,20,SECHURA,SECHURA,PIURA,9,0.6804516422655422,0.42141541620962075,True,00025102,2502.2,urbano
118446,Sanchez,0,200805,2008,20,VICE,SECHURA,PIURA,15,3.4314577977817877,2.345840150141725,True,00031075,1738.9,rural
123098,Constante,0,200801,2008,20,SECHURA,SECHURA,PIURA,4,14.431589595605491,14.123416529844329,True,00025102,1457.6,rural
130613,Chusis,0,200801,2008,20,SECHURA,SECHURA,PIURA,22,4.656336309579587,4.283468021640211,True,00018922,653.7,rural
226914,Palo Parado,0,200801,2008,20,SECHURA,SECHURA,PIURA,0,12.5623826612653,11.090561591601432,True,00025102,460.6,rural
683686,Juan De Los Rios - Vice,0,200805,2008,20,VICE,SECHURA,PIURA,39,,,False,,2993.5,urbano
683687,Brisas Del Mar - Nuevo Parachique,0,200801,2008,20,SECHURA,SECHURA,PIURA,12,,,False,,5400.3,urbano
245605,San Martin de Letira,0,200110,2001,20,LA UNION,PIURA,PIURA,16,14.053106493072843,9.151844001114757,True,00002124,4176.1,urbano
617169,San Vicente,0,200110,2001,20,LA UNION,PIURA,PIURA,21,6.1879335224771514,4.007026721901074,True,00011733,9702.1,urbano
690412,Santa Elena,0,200109,2001,20,LA ARENA,PIURA,PIURA,23,13.346441908280376,9.067095563605005,True,00002124,6213.8,urbano
114788,Santa Filomena,0,200803,2008,20,BERNAL,SECHURA,PIURA,11,5.734732166713764,4.092215001178368,True,00002157,439.9,rural
246742,Hacienda San Juan de Chato,0,200110,2001,20,LA UNION,PIURA,PIURA,13,7.790561896694856,5.815110415930312,True,00032108,946.6,rural
114156,La Victoria,0,200107,2001,20,CURA MORI,PIURA,PIURA,27,1.4443149715273433,0.7490585062318131,True,00002137,1414.5,rural
121984,Catacaos,3,200105,2001,20,CATACAOS,PIURA,PIURA,27,0.2501376776234901,0.13792000016836095,True,00036970,6734.0,urbano
616890,Nuevo Chato Grande,0,200107,2001,20,CURA MORI,PIURA,PIURA,21,14.373724243095465,10.20781465966362,True,00002137,806.9,rural
219407,Hacienda Santa Maria,0,200109,2001,20,LA ARENA,PIURA,PIURA,24,4.610773527720571,3.017766893605383,True,00002124,1645.4,rural
652455,Ciudad Noe,0,200107,2001,20,CURA MORI,PIURA,PIURA,23,14.36827356368782,9.925422639517244,True,00002137,1799.7,rural
610901,La Coscola,0,200801,2008,20,SECHURA,SECHURA,PIURA,59,,,False,,554.6,rural
569175,Juan Velasco Alvarado,0,200105,2001,20,CATACAOS,PIURA,PIURA,26,1.6285325698275228,1.048783642261744,True,00026927,975.5,rural
222329,Pedregal Chico,0,200105,2001,20,CATACAOS,PIURA,PIURA,24,6.466110523358439,5.9988063367594595,True,00002124,791.5,rural
223560,Fundo Yolanda Gonzales,0,200105,2001,20,CATACAOS,PIURA,PIURA,23,6.096117546288754,5.774807165722284,True,00002124,1396.9,rural
525304,Monteverde,0,200105,2001,20,CATACAOS,PIURA,PIURA,174,98.08039347311362,66.06905846562988,True,00002178,1164.4,rural
614437,Maria Vega de la Redonda,0,200801,2008,20,SECHURA,SECHURA,PIURA,114,,,False,,764.0,rural
130306,Cucungara,3,200107,2001,20,CURA MORI,PIURA,PIURA,23,0.9362891832468861,0.6339979487626112,True,00002137,2298.4,urbano
519061,San Ramon,0,200804,2008,20,CRISTO NOS VALGA,SECHURA,PIURA,22,24.23669158342961,23.997453742091654,True,00032108,1371.2,rural
129963,Cerritos,0,200804,2008,20,CRISTO NOS VALGA,SECHURA,PIURA,17,14.076131057823202,10.687230117658265,True,00002157,1661.8,rural
241657,El Venado,0,200105,2001,20,CATACAOS,PIURA,PIURA,242,,,False,,832.0,rural
224039,Santa Rosa,0,200803,2008,20,BERNAL,SECHURA,PIURA,11,14.254320848171593,8.987848260183771,True,00032108,429.8,rural
227821,Guadalupe,0,200803,2008,20,BERNAL,SECHURA,PIURA,16,12.854750501313893,8.413343616939406,True,00032108,603.1,rural
237573,Tierras Nuevas,0,200803,2008,20,BERNAL,SECHURA,PIURA,10,8.53400421369281,5.482737065377169,True,00002157,3532.9,urbano
227311,Nemesio / Noria Nemesio,0,200404,2004,20,LA MATANZA,MORROPON,PIURA,249,53.661666308453235,30.175202017207827,True,00002164,445.7,rural
650106,Almirante Grau,0,200107,2001,20,CURA MORI,PIURA,PIURA,20,15.04740959380506,10.951534569918673,True,00002137,1968.1,rural
125871,Chato Chico,0,200107,2001,20,CURA MORI,PIURA,PIURA,26,8.645871867246623,5.574627681658198,True,00002137,2800.6,urbano
229670,Hacienda Cruz Verde,0,200109,2001,20,LA ARENA,PIURA,PIURA,16,2.4976252474112073,2.403040629553399,True,00002124,609.2,rural
133192,Tamarindo Bajo,0,200110,2001,20,LA UNION,PIURA,PIURA,14,5.664163717332215,4.158665338366285,True,00002124,1425.6,rural
122788,Chuchal de Santiago,0,200802,2008,20,BELLAVISTA DE LA UNION,SECHURA,PIURA,18,3.8263715956104734,3.0701900226684113,True,00011733,417.7,rural
621207,Zona de La Prada,0,200105,2001,20,CATACAOS,PIURA,PIURA,192,,,False,,2268.5,urbano
545654,Santuyal,0,200109,2001,20,LA ARENA,PIURA,PIURA,21,6.705230962223461,4.981031960223828,True,00002124,1690.0,rural
118140,Los Mores,0,200107,2001,20,CURA MORI,PIURA,PIURA,20,,,False,,1211.8,rural
