UBIGEO,NOMCP,DEP,DIST
230109,Puerto Morro Sama,TACNA,SAMA
230101,Hidrobiologicos El Pacifico,TACNA,TACNA
180301,Promuvi I,MOQUEGUA,ILO
180303,San Juan de Fundicion,MOQUEGUA,PACOCHA
180301,Puerto Ingles,MOQUEGUA,ILO
180101,Espejos,MOQUEGUA,MOQUEGUA
180101,Trapiche,MOQUEGUA,MOQUEGUA
180101,Quebrada de Calaluna,MOQUEGUA,MOQUEGUA
180101,Tamayo,MOQUEGUA,MOQUEGUA
180101,Pampas de San Antonio,MOQUEGUA,MOQUEGUA
180101,San Pedro,MOQUEGUA,MOQUEGUA
180101,Condeza Alta,MOQUEGUA,MOQUEGUA
180101,Copocrop,MOQUEGUA,MOQUEGUA
180101,Siglo Xxi,MOQUEGUA,MOQUEGUA
180101,Pampa Blanca,MOQUEGUA,MOQUEGUA
180101,Quebrada Del Mono,MOQUEGUA,MOQUEGUA
180101,Omo Chico,MOQUEGUA,MOQUEGUA
180101,Zapata,MOQUEGUA,MOQUEGUA
180101,El Conde,MOQUEGUA,MOQUEGUA
180101,Montalvo,MOQUEGUA,MOQUEGUA
180101,Sacata,MOQUEGUA,MOQUEGUA
180101,Virgen Del Carmen,MOQUEGUA,MOQUEGUA
180101,Monteblanco,MOQUEGUA,MOQUEGUA
180101,Cambrune,MOQUEGUA,MOQUEGUA
180101,Soledad,MOQUEGUA,MOQUEGUA
180101,Homo,MOQUEGUA,MOQUEGUA
180101,La Cuevita,MOQUEGUA,MOQUEGUA
180101,Tapia,MOQUEGUA,MOQUEGUA
180101,El Palmo Hacienda,MOQUEGUA,MOQUEGUA
180101,San Jose,MOQUEGUA,MOQUEGUA
180101,Santa Ana,MOQUEGUA,MOQUEGUA
180101,Taquila,MOQUEGUA,MOQUEGUA
180101,Garbanzal,MOQUEGUA,MOQUEGUA
180101,Cruz Verde Hacienda,MOQUEGUA,MOQUEGUA
180101,Hacienda Garibaldi,MOQUEGUA,MOQUEGUA
180101,Quebrada de San Antonio,MOQUEGUA,MOQUEGUA
180101,Bentrellata,MOQUEGUA,MOQUEGUA
180101,Palomar,MOQUEGUA,MOQUEGUA
180101,Villalobos,MOQUEGUA,MOQUEGUA
180101,La Condeza Hacienda,MOQUEGUA,MOQUEGUA
180101,Mono,MOQUEGUA,MOQUEGUA
180101,Mayorazgo,MOQUEGUA,MOQUEGUA
180101,Corpanto / Corpanto Chico,MOQUEGUA,MOQUEGUA
180101,Corpanto Artieda,MOQUEGUA,MOQUEGUA
180101,Santo Domingo,MOQUEGUA,MOQUEGUA
180101,Pacae,MOQUEGUA,MOQUEGUA
180101,Chincha,MOQUEGUA,MOQUEGUA
180101,Churrucos,MOQUEGUA,MOQUEGUA
180101,El Molle,MOQUEGUA,MOQUEGUA
180101,Corpanto Pomareda,MOQUEGUA,MOQUEGUA
180101,La Bodeguilla Hacienda,MOQUEGUA,MOQUEGUA
180101,El Yaral,MOQUEGUA,MOQUEGUA
180101,Rodriguez Piedra,MOQUEGUA,MOQUEGUA
180101,Tres Quebradas,MOQUEGUA,MOQUEGUA
180101,Testamento,MOQUEGUA,MOQUEGUA
180101,Cupine,MOQUEGUA,MOQUEGUA
180101,San Antonio Hacienda,MOQUEGUA,MOQUEGUA
180101,Sacatita,MOQUEGUA,MOQUEGUA
180101,Las Flores,MOQUEGUA,MOQUEGUA
180101,San Julian,MOQUEGUA,MOQUEGUA
180101,Los Angulo,MOQUEGUA,MOQUEGUA
180101,Sorzano,MOQUEGUA,MOQUEGUA
180101,Majuelo,MOQUEGUA,MOQUEGUA
180101,Calaluna,MOQUEGUA,MOQUEGUA
180101,Chamos,MOQUEGUA,MOQUEGUA
180101,Corpanto Ghersi,MOQUEGUA,MOQUEGUA
180101,La Pampa,MOQUEGUA,MOQUEGUA
180101,Hacienda Grande,MOQUEGUA,MOQUEGUA
180101,La Merced,MOQUEGUA,MOQUEGUA
180101,Ramadon,MOQUEGUA,MOQUEGUA
180101,Testamentos,MOQUEGUA,MOQUEGUA
180101,Asociacion Pachas,MOQUEGUA,MOQUEGUA
180101,Altillo,MOQUEGUA,MOQUEGUA
180101,Tocino Montalvo,MOQUEGUA,MOQUEGUA
180101,Jose Carlos Mariategui,MOQUEGUA,MOQUEGUA
180101,Belen,MOQUEGUA,MOQUEGUA
180101,San Antonio,MOQUEGUA,MOQUEGUA
180101,Lucumbilla Hacienda,MOQUEGUA,MOQUEGUA
180101,Chiribayos,MOQUEGUA,MOQUEGUA
180101,Las Lechuzas,MOQUEGUA,MOQUEGUA
180101,Trapiche,MOQUEGUA,MOQUEGUA
210405,Tupo Uncalliri,PUNO,PISACOMA
211307,Ina,PUNO,UNICACHI
210104,Isla,PUNO,ATUNCOLLA
210108,Allan Mocco,PUNO,HUATA
210108,Kapy Cruz,PUNO,HUATA
210101,Uros Tribuna,PUNO,PUNO
210101,Uros Santa Maria,PUNO,PUNO
210101,Jirata Viscachuni,PUNO,PUNO
210101,Isla Esteves,PUNO,PUNO
210101,Isla Sumac Pacha,PUNO,PUNO
210101,Isla Uros Wiñay Kollana,PUNO,PUNO
210101,Isla Wacawacani Grande,PUNO,PUNO
210101,Isla San Miguel,PUNO,PUNO
210101,Isla Santa Maria,PUNO,PUNO
210101,Isla Tribuna Kollas,PUNO,PUNO
210101,Isla Toranipata (Mamatorani),PUNO,PUNO
210101,Isla Totora,PUNO,PUNO
210101,Isla Waliki,PUNO,PUNO
210101,Isla Qota Marka San Miguel,PUNO,PUNO
210101,Isla Contiki San Miguel,PUNO,PUNO
210101,Isla Kontike,PUNO,PUNO
210101,Isla Chumi,PUNO,PUNO
210101,Isla Sin Nombre 1,PUNO,PUNO
210101,Isla Puma Utta,PUNO,PUNO
210101,Isla Sin Nombre 2,PUNO,PUNO
210101,Isla Paraiso,PUNO,PUNO
210101,Isla Suma Suyawi,PUNO,PUNO
210101,Isla San Pedro,PUNO,PUNO
