UBIGEO,NOMBRE,DEPARTAMENTO,DISTRITO
110112,FONAVI IV,ICA,SUBTANJALLA
180210,P.S. CHACLAYA,MOQUEGUA,UBINAS
150135,CONSULTORIOS MEDICOS LIDER MEDIC EIRL,LIMA,SAN MARTIN DE PORRES
050205,PUESTO DE SALUD CCARHUACCPAMPA,AYACUCHO,PARAS
180210,P.S. QUINSACHATA,MOQUEGUA,UBINAS
230401,PUESTO DE SALUD CONCHACHIRI,TACNA,TARATA
090117,CCASAPATA,HUANCAVELICA,YAULI
210111,COLLACACHI,PUNO,PICHACANI
210102,LAQUI,PUNO,ACORA
150117,TU SONRISA CONSULTORIO DENTAL,LIMA,LOS OLIVOS
110103,YAURILLA,ICA,LOS AQUIJES
211210,JANANSAYA,PUNO,SAN PEDRO DE PUTINA PUNCO
210309,CUESTA BLANCA,PUNO,SAN GABAN
210801,CENTRO MEDICO AYAVIRI,PUNO,AYAVIRI
210309,PUERTO MANOA,PUNO,SAN GABAN
210501,ULLACACHI,PUNO,ILAVE
170102,AMARACAYRE,MADRE DE DIOS,INAMBARI
210903,TARUCANI,PUNO,HUAYRAPATA
170204,PUQUIRI,MADRE DE DIOS,HUEPETUHE
210105,ISAÑURA,PUNO,CAPACHICA
211210,Puesto de Salud Eden,PUNO,SAN PEDRO DE PUTINA PUNCO
110113,LUJARAJA,ICA,TATE
110105,EL PALTO,ICA,PACHACUTEC
160108,BAP RIO YAHUAS,LORETO,PUNCHANA
160108,PIAS PUTUMAYO II,LORETO,PUNCHANA
210602,TRAPICHE,PUNO,COJATA
211001,PICOTANI,PUNO,PUTINA
210401,SAN JUAN DE YARIHUANI,PUNO,JULI
200101,O & G ODONTOLOGÍA INTEGRAL Y ALTA ESTÉTICA  E.I.R.L,PIURA,PIURA
170103,MONTE SALVADO,MADRE DE DIOS,LAS PIEDRAS
170302,CHILINA,MADRE DE DIOS,IBERIA
210109,CACHIPASCANA,PUNO,MAÑAZO
110202,AYLLOQUE,ICA,ALTO LARAN
210701,CHAÑOCAHUA,PUNO,LAMPA
210601,CUCHOCHACAMARCA,PUNO,HUANCANE
210710,CHIVAY,PUNO,VILAVILA
210407,ALTO PAVITA,PUNO,ZEPITA
210111,JILATAMARCA,PUNO,PICHACANI
210112,CAMATA,PUNO,PLATERIA
060801,GRANADILLAS,CAJAMARCA,JAEN
010612,NUEVO OMIA,AMAZONAS,VISTA ALEGRE
150110,PUESTO DE SALUD LOS GERANIOS,LIMA,COMAS
061311,CHILAL,CAJAMARCA,YAUYUCAN
090117,LIMAPAMPA,HUANCAVELICA,YAULI
050406,PUESTO DE SALUD VISCATAN,AYACUCHO,SANTILLANA
040128,CENTRO COMUNITARIO UCSM,AREQUIPA,YURA
050101,CENTRO DE ATENCIÓN PRIMARIA III METROPOLITANO AYACUCHO,AYACUCHO,AYACUCHO
040702,FUERZA AEREA DEL PERU,AREQUIPA,COCACHACRA
080108,MEGADENT,CUSCO,WANCHAQ
120101,LABORATORIO DE REFERENCIA REGIONAL JUNIN,JUNIN,HUANCAYO
050104,PUESTO DE SALUD YANAMA,AYACUCHO,CARMEN ALTO
090117,LOS ANDES DE SOTOPAMPA,HUANCAVELICA,YAULI
190305,OSOMAYO,PASCO,POZUZO
240301,CENTRO MEDICO DE ZARUMILLA,TUMBES,ZARUMILLA
230107,ENFERMERIA DEL FUERTE IQUIQUE - PALCA,TACNA,PALCA
250105,HOSPITAL AMAZONICO - YARINACOCHA,UCAYALI,YARINACOCHA
200402,E.S.  CARRASQUILLO,PIURA,BUENOS AIRES
060701,LA HUAYLLA,CAJAMARCA,BAMBAMARCA
200101,CENTRO MEDICO SAMPLES E.I.R.L.,PIURA,PIURA
200101,Imagen DX S. A.,PIURA,PIURA
150120,MGH SERVICIOS MÉDICOS,LIMA,MAGDALENA DEL MAR
060601,Policlinico San Marcos E.I.R.L.,CAJAMARCA,CUTERVO
150101,JCDENTAL,LIMA,LIMA
140106,CENTRO MEDICO CEMEL E.I.R.L,LAMBAYEQUE,LA VICTORIA
150806,CERO  DOLOR,LIMA,HUAURA
010601,INTEGRAMENTE HUAYABAMBA,AMAZONAS,SAN NICOLAS
